wl	OD
250	0.477121254
250.5	0.522878727
251	0.243038049
251.5	0.397939993
252	0.511883361
252.5	0.698969995
253	1.079181246
253.5	0.574031284
254	0.66900677
254.5	0.544068036
255	0.903089987
255.5	1.060697805
256	0.875061282
256.5	1.113943385
257	0.698969996
257.5	1.431363768
258	0.698970028
258.5	1.079181232
259	0.778151276
259.5	0.989004593
260	1.371067855
260.5	1.255272505
261.5	1.079181265
262	1.308208592
263	1.146128037
263.5	1.355387689
264	1.301029984
264.5	1.267171714
265	1.728353792
266	1.8692317
266.5	1.6092386
267	1.875061289
267.5	1.69897
268	1.768391424
268.5	1.8633229
269	1.745595208
269.5	2.187520699
270	2.232996116
270.5	2.136720564
271.5	1.822821652
272	1.486666593
272.5	1.439332685
273.5	1.913813868
274	1.718778359
274.5	1.44715803
275	1.995635186
275.5	1.703291375
276.5	1.851258316
277	1.865301414
278	2.045322973
278.5	1.875061246
279	1.799340558
279.5	2.039414108
280	2.338456512
280.5	2.131939313
281	1.743509766
282	2.19451431
282.5	2.201397162
283.5	2.251638246
284	1.888740955
284.5	2.268343931
285	2.355068189
285.5	2.169282473
286	2.397070557
286.5	2.712649694
287	2.14301479
287.5	2.441695131
288	2.475671211
288.5	2.773786435
289	2.370451421
289.5	2.208844304
290	2.224014799
290.5	2.47712124
291	2.607455032
291.5	2.173186263
292	2.603685526
292.5	2.383815369
293	2.609060529
293.5	2.211120542
294	2.640978083
294.5	2.625312448
295	2.469331019
296.5	2.666518001
297	2.530199698
297.5	2.722633898
298.5	2.73279571
299	2.564666054
299.5	2.288547295
300	2.807873113
300.5	3.069298036
301.5	2.65545859
302	2.864511092
302.5	2.549616255
303	3.199755177
303.5	3.194791771
304	3.212187593
304.5	2.594944753
305	3.230704312
306	2.78627807
306.5	2.778633507
307	2.973358794
307.5	2.964023788
308	2.797036604
309	3.305351384
309.5	2.709269961
310	3.344195697
310.5	3.031408482
311	2.882714204
311.5	3.074267745
312	3.393399708
313	3.119420868
313.5	2.936010803
314	2.880670719
315	3.006037952
316	3.203168936
316.5	3.488691724
317	3.209783023
317.5	3.208038029
318	2.924795977
318.5	3.52904518
319	2.964259637
320	2.566201716
320.5	3.237418058
321	3.283640398
321.5	3.312917495
322	3.635282659
322.5	2.987554558
323	3.623869262
323.5	3.334855691
324	3.63103768
325.5	3.658488379
326.5	3.358886206
327	3.702602837
328	3.115444076
328.5	3.086537778
329	2.948657439
329.5	3.710540449
330	3.108649575
330.5	3.22993767
331	3.729083763
331.5	3.256958142
332	3.429510045
332.5	3.429833001
333	3.293362569
333.5	3.290702261
334	3.793161537
334.5	3.308848871
335	3.821120309
336	3.575014533
336.5	3.36915398
337	3.867585313
337.5	3.875408525
338	3.19501357
338.5	3.875929011
339	3.621591657
339.5	3.911104326
340	3.319938477
340.5	3.613841827
341	3.478758814
341.5	3.357363025
342	3.64684466
343	3.526339294
343.5	3.055426116
344	3.982452147
344.5	3.159953693
345	2.924080397
345.5	3.527329071
346	3.038222654
346.5	3.335618392
347	3.177289085
