t	counts	ref_file	wl0	bth	t0	t1	OD
0	3.77883363	ref_400_400.txt	400	13	30	330	OD1.txt
0.6	9.44708443						
1.2	11.3365011						
1.8	5.66825056						
2.4	0						
3	11.3365011						
3.6	0						
4.2	7.55766726						
4.8	0						
5.4	7.55766726						
6	5.66825056						
6.6	15.1153345						
7.2	11.3365011						
7.8	3.77883363						
8.4	1.88941681						
9	15.1153345						
9.6	5.66825056						
10.2	1.88941681						
10.8	3.77883363						
11.4	5.66825056						
12	5.66825056						
12.6	5.66825056						
13.2	1.88941681						
13.8	1.88941681						
14.4	0						
15	3.77883363						
15.6	1.88941681						
16.2	5.66825056						
16.8	1.88941681						
17.4	1.88941681						
18	5.66825056						
18.6	1.88941681						
19.2	9.44708443						
19.8	5.66825056						
20.4	5.66825056						
21	7.55766726						
21.6	3.77883363						
22.2	3.77883363						
22.8	0						
23.4	17.0047512						
24	1.88941681						
24.6	3.77883363						
25.2	5.66825056						
25.8	11.3365011						
26.4	13.2259169						
27	1.88941681						
27.6	5.66825056						
28.2	3.77883363						
28.8	1.88941681						
29.4	0						
30	369915.688						
30.6	369481.125						
31.2	368863.281						
31.8	368897.281						
32.4	368944.531						
33	366873.719						
33.6	368224.656						
34.2	368209.531						
34.8	368851.938						
35.4	366699.906						
36	366718.813						
36.6	367680.531						
37.2	369003.094						
37.8	367191.156						
38.4	368014.938						
39	369173.125						
39.6	367931.813						
40.2	367884.563						
40.8	368088.625						
41.4	368795.25						
42	367672.938						
42.6	366550.625						
43.2	368498.625						
43.8	366786.813						
44.4	367512.344						
45	367026.781						
45.6	367723.969						
46.2	368198.188						
46.8	366452.375						
47.4	368130.188						
48	367223.281						
48.6	365927.125						
49.2	366715.031						
49.8	367072.125						
50.4	364532.75						
51	367504.781						
51.6	367255.375						
52.2	367383.875						
52.8	365823.219						
53.4	367778.75						
54	368627.094						
54.6	367057						
55.2	368277.563						
55.8	368681.906						
56.4	367079.656						
57	367863.75						
57.6	367219.5						
58.2	368710.25						
58.8	368077.281						
59.4	367433						
60	368627.094						
60.6	367281.844						
61.2	366522.281						
61.8	369226.063						
62.4	368664.875						
63	367325.281						
63.6	366163.313						
64.2	367440.563						
64.8	367157.156						
65.4	368281.344						
66	368145.281						
66.6	368789.594						
67.2	366074.5						
67.8	367580.344						
68.4	367472.688						
69	367996.063						
69.6	367446.219						
70.2	366807.594						
70.8	367860						
71.4	368640.313						
72	366441.063						
72.6	369224.156						
73.2	367221.375						
73.8	367597.375						
74.4	367434.875						
75	367242.188						
75.6	367134.469						
76.2	367928						
76.8	367688.063						
77.4	367119.375						
78	365806.219						
78.6	366607.313						
79.2	367323.406						
79.8	366405.156						
80.4	367251.625						
81	366078.281						
81.6	367996.063						
82.2	366049.938						
82.8	367582.25						
83.4	367803.313						
84	367181.719						
84.6	366688.563						
85.2	367546.344						
85.8	367302.594						
86.4	366408.938						
87	367306.406						
87.6	367240.25						
88.2	368260.563						
