t	counts	wl0	bth	t0	t1	OD
0	4.34409618	524	13	30	330	OD1.txt
0.6	0					
1.2	4.34409618					
1.8	5.79212856					
2.4	2.89606428					
3	2.89606428					
3.6	5.79212856					
4.2	7.24016047					
4.8	7.24016047					
5.4	1.44803214					
6	5.79212856					
6.6	11.5842571					
7.2	2.89606428					
7.8	5.79212856					
8.4	2.89606428					
9	5.79212856					
9.6	2.89606428					
10.2	1.44803214					
10.8	11.5842571					
11.4	5.79212856					
12	1.44803214					
12.6	5.79212856					
13.2	4.34409618					
13.8	1.44803214					
14.4	2.89606428					
15	1.44803214					
15.6	1.44803214					
16.2	5.79212856					
16.8	5.79212856					
17.4	11.5842571					
18	1.44803214					
18.6	2.89606428					
19.2	5.79212856					
19.8	0					
20.4	0					
21	10.1362247					
21.6	7.24016047					
22.2	2.89606428					
22.8	11.5842571					
23.4	4.34409618					
24	2.89606428					
24.6	4.34409618					
25.2	2.89606428					
25.8	1.44803214					
26.4	4.34409618					
27	4.34409618					
27.6	2.89606428					
28.2	4.34409618					
28.8	5.79212856					
29.4	5.79212856					
30	874.611389					
30.6	965.837402					
31.2	1026.65479					
31.8	1143.94531					
32.4	1248.20361					
33	1236.61938					
33.6	1324.94934					
34.2	1268.47607					
34.8	1443.68799					
35.4	1385.76672					
36	1523.32971					
36.6	1505.95337					
37.2	1569.66687					
37.8	1576.90698					
38.4	1672.47705					
39	1710.12585					
39.6	1686.95728					
40.2	1757.91101					
40.8	1734.74243					
41.4	1811.48816					
42	1812.93628					
42.6	1891.12988					
43.2	1821.62439					
43.8	1915.74646					
44.4	1973.66772					
45	2028.69287					
45.6	2056.20557					
46.2	2141.6394					
46.8	2195.21655					
47.4	2127.15894					
48	2302.37109					
48.6	2326.98755					
49.2	2238.65747					
49.8	2245.89771					
50.4	2331.33179					
51	2479.03101					
51.6	2484.82324					
52.2	2532.60815					
52.8	2507.99146					
53.4	2529.71191					
54	2586.1853					
54.6	2612.24976					
55.2	2704.92383					
55.8	2725.19629					
56.4	2804.83813					
57	2809.18213					
57.6	2959.77759					
58.2	2978.60205					
58.8	2843.93506					
59.4	3111.82104					
60	3171.19019					
60.6	3053.89966					
61.2	3253.72803					
61.8	3216.07935					
62.4	3255.17603					
63	3279.79272					
63.6	3408.66748					
64.2	3308.75342					
64.8	3369.5708					
65.4	3392.73926					
66	3466.58887					
66.6	3520.16602					
67.2	3580.9834					
67.8	3608.49585					
68.4	3730.13086					
69	3817.0127					
69.6	3735.92261					
