wl	counts
350	-666.346619
351	-646.693481
352	-1881.34595
353	609.264648
354	0
355	585.708557
356	-1712.86304
357	-556.460144
358	-1079.71924
359	-1574.83179
360	-514.759827
361	0
362	488.134979
363	-479.80658
364	-1413.03149
365	-919.924805
366	0
367	-888.099854
368	-435.609894
369	-852.986633
370	-414.183075
371	-1218.77905
372	-1205.32178
373	-396.238251
374	-777.904907
375	-383.707733
376	-752.5979
377	0
378	-361.966034
379	-713.353821
380	-1052.94055
381	1041.396
382	-683.026917
383	-668.471375
384	-978.104492
385	-321.880341
386	315.871216
387	-618.323486
388	-303.927856
389	891.237732
390	1159.19031
391	5666.96094
392	10775.1074
393	22261.3691
394	46993.4414
395	84358.7813
396	119613.258
397	168443.453
398	195418.453
399	247455.719
400	264808.313
401	269823.625
402	279799.875
403	287145.781
404	294432.813
405	259202.297
406	251338.406
407	220721.641
408	177939.906
409	137976.953
410	102855.648
411	71103.1719
412	47421.5547
413	32481.4707
414	13861.7559
415	2228.79443
416	134.905457
417	263.94043
418	-258.667969
419	-254.243729
420	0
421	-123.333237
422	-243.761612
423	-241.655212
424	-239.354721
425	0
426	235.790543
427	-352.339417
428	-233.513168
429	0
430	576.58551
431	0
432	-114.004158
433	0
434	448.715851
435	-111.984169
436	0
437	-114.598534
438	-348.294952
439	235.762131
440	239.083969
441	242.932999
442	-123.25898
443	-125.249977
444	0
445	0
446	-130.104538
447	395.009247
448	399.64386
449	-268.339935
450	-270.1026
