wl	counts
350	-666.346619
351	-646.693481
352	0
353	608.390564
354	-594.576599
355	2932.76294
356	0
357	2229.04321
358	-1614.93823
359	-524.943909
360	0
361	0
362	488.837341
363	-481.187317
364	942.021057
365	457.985504
366	-449.869537
367	0
368	436.234863
369	1698.64099
370	414.777313
371	811.356934
372	1201.86816
373	-1975.50647
374	-387.839569
375	766.315979
376	-749.372498
377	-735.954773
378	361.966034
379	357.189362
380	351.483765
381	1730.68665
382	-340.533508
383	-333.755463
384	-979.505798
385	-964.255615
386	-315.417389
387	-930.158142
388	606.98114
389	0
390	1157.52478
391	10705.6113
392	19559.9336
393	43986.3203
394	93591.3359
395	170744.203
396	224169.75
397	296804
398	339029.406
399	382920.375
400	425048.063
401	431780.938
402	443805.781
403	430462.219
404	395202.219
405	376550.719
406	331142
407	294879
408	247124.891
409	182863.5
410	136870.891
411	103131.719
412	68298.0625
413	40337.6133
414	18239.2402
415	1111.18579
416	134.905457
417	131.970215
418	128.962875
419	127.488739
420	249.479523
421	-245.958679
422	-121.531082
423	361.441223
424	119.849808
425	-118.650307
426	-117.895271
427	-117.785423
428	0
429	580.612427
430	-114.986206
431	114.514458
432	-228.008316
433	-453.375244
434	-112.340141
435	-336.435913
436	0
437	-343.301666
438	232.530746
439	587.716492
440	119.37072
441	365.448151
442	123.25898
443	125.249977
444	-126.789192
445	-128.73848
446	260.582947
447	-264.477844
448	-266.812592
449	269.112122
450	540.981384
